n2_source,n2_target,my_source,my_target,year,month,day,mode,companion
star_chamber,wills,204,658,1660,1,31,walk,
wills,mrs_jem_lodgings,658,412,1660,1,31,walk,
mrs_jem_lodgings,harpers,412,231,1660,1,31,walk,
harpers,home_axe_yard,231,264,1660,1,31,walk,
home_axe_yard,westminster_hall,264,610,1660,2,1,walk,
westminster_hall,lincolns_inn,610,159,1660,2,1,walk,Mr. Swan
lincolns_inn,lady_wrights_house,159,305,1660,2,1,walk,
lady_wrights_house,mrs_jem_lodgings,305,412,1660,2,1,walk,
mrs_jem_lodgings,home_axe_yard,412,264,1660,2,1,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,2,1,walk,
my_lords_lodgings,wills,650,658,1660,2,1,walk,
wills,home_axe_yard,658,264,1660,2,1,walk,
exchequer_charing_cross,the_temple,169,102,1660,2,2,walk,Mr. Doling
the_temple,london_bridge,102,324,1660,2,2,boat,
london_bridge,bridge_tavern,324,32,1660,2,2,walk,
bridge_tavern,the_temple,32,102,1660,2,2,boat,
home_axe_yard,harpers,264,231,1660,2,3,walk,Sir W. Batten
harpers,st_james_park,231,541,1660,2,3,walk,
priors,wilkinsons,746,656,1660,2,3,walk,
wilkinsons,whitehall,656,642,1660,2,3,walk,
whitehall,home_axe_yard,642,264,1660,2,3,walk,
home_axe_yard,palace_yard,264,372,1660,2,3,walk,
palace_yard,st_james_park,372,541,1660,2,3,walk,Elizabeth Pepys
st_james_park,charing_cross,541,85,1660,2,3,walk,Elizabeth Pepys
westminster_hall,wills,610,658,1660,2,4,walk,
the_temple,grays_inn,102,204,1660,2,4,walk,
grays_inn,lincolns_inn,204,159,1660,2,4,walk,
lincolns_inn,mr_crews_house,159,374,1660,2,4,walk,
mr_crews_house,lady_wrights_house,374,305,1660,2,4,walk,
lady_wrights_house,mrs_jem_lodgings,305,412,1660,2,4,walk,
mrs_jem_lodgings,home_axe_yard,412,264,1660,2,4,walk,
home_axe_yard,exeter_house_chapel,264,69,1660,2,5,walk,
exeter_house_chapel,home_axe_yard,69,264,1660,2,5,walk,
home_axe_yard,chequers,264,94,1660,2,5,walk,
chequers,father_house,94,174,1660,2,5,walk,
mr_crews_house,palace_yard,374,372,1660,2,6,walk,
palace_yard,swan_westminster,372,562,1660,2,6,walk,Mr. Swan
westminster_hall,home_axe_yard,610,264,1660,2,6,walk,
home_axe_yard,bull_head,264,63,1660,2,6,walk,John Pepys Sr.
wills,home_axe_yard,658,264,1660,2,6,walk,
home_axe_yard,the_temple,264,102,1660,2,7,walk,Mr. Hawly
the_temple,cousin_tom_pepys_shop,102,121,1660,2,7,walk,
cousin_tom_pepys_shop,pauls_school,121,548,1660,2,7,walk,
pauls_school,home_axe_yard,548,264,1660,2,7,walk,
home_axe_yard,westminster_hall,264,610,1660,2,7,walk,
westminster_hall,temple_gardens,610,102,1660,2,7,coach,Captain Stone
temple_gardens,home_axe_yard,102,264,1660,2,7,walk,
home_axe_yard,mr_crews_house,264,374,1660,2,7,walk,
swan_westminster,wills,562,658,1660,2,8,walk,
wills,rhenish_wine_house,658,476,1660,2,8,walk,
rhenish_wine_house,home_axe_yard,476,264,1660,2,8,walk,
home_axe_yard,mrs_jem_lodgings,264,412,1660,2,8,walk,
mrs_jem_lodgings,the_temple,412,102,1660,2,8,walk,
the_temple,father_house,102,174,1660,2,8,walk,
westminster_hall,temple_bar,610,102,1660,2,9,walk,Mr. Swan
temple_bar,harpers,102,231,1660,2,9,coach,
harpers,home_axe_yard,231,264,1660,2,9,walk,
westminster_hall,the_temple,610,102,1660,2,9,boat,Mr. Swan
the_temple,westminster_hall,102,610,1660,2,9,walk,
mrs_jem_lodgings,lady_wrights_house,412,305,1660,2,9,walk,
lady_wrights_house,westminster_hall,305,610,1660,2,9,walk,
westminster_hall,mr_pierces_house,610,394,1660,2,9,walk,Mr. Pierce
mr_pierces_house,home_axe_yard,394,264,1660,2,9,walk,
home_axe_yard,court_of_wards,264,279,1660,2,10,walk,Mr. Swan
court_of_wards,exchequer_court,279,116,1660,2,10,walk,
home_axe_yard,exchequer_court,264,116,1660,2,10,walk,
exchequer_court,home_axe_yard,116,264,1660,2,10,walk,
westminster_hall,temple_bar,610,102,1660,2,11,walk,Mr. Chetwind
temple_bar,chancery_lane,102,83,1660,2,11,walk,Mr. Chetwind
chancery_lane,guildhall,83,222,1660,2,11,coach,Mr. Chetwind
guildhall,three_tuns_charing_cross,222,71,1660,2,11,walk,Mr. Chetwind
three_tuns_charing_cross,guildhall,71,222,1660,2,11,walk,
guildhall,star_tavern,222,553,1660,2,11,walk,Mr. Lock; Mr. Chetwind
chequers,home_axe_yard,94,264,1660,2,11,walk,
home_axe_yard,royal_exchange,264,789,1660,2,11,walk,Elizabeth Pepys
royal_exchange,home_axe_yard,789,264,1660,2,11,walk,Elizabeth Pepys
home_axe_yard,whitehall,264,642,1660,2,12,walk,Mr. Pierce
home_axe_yard,st_james_park,264,541,1660,2,12,walk,Tom Pepys
st_james_park,st_pauls,541,545,1660,2,12,walk,Tom Pepys
st_pauls,moorfields,545,359,1660,2,12,walk,
moorfields,pauls_churchyard,359,546,1660,2,12,walk,
pauls_churchyard,mrs_turner_house,546,419,1660,2,12,walk,
mrs_turner_house,father_house,419,174,1660,2,12,walk,
father_house,home_axe_yard,174,264,1660,2,12,walk,Elizabeth Pepys
home_axe_yard,mrs_jem_lodgings,264,412,1660,2,13,walk,
home_axe_yard,playford_shop,264,458,1660,2,13,walk,Elizabeth Pepys
playford_shop,father_house,458,174,1660,2,13,walk,Elizabeth Pepys
wills,home_axe_yard,658,264,1660,2,14,walk,
mrs_jem_lodgings,home_axe_yard,412,264,1660,2,14,walk,
westminster_hall,wills,610,658,1660,2,14,walk,
wills,home_axe_yard,658,264,1660,2,15,walk,
wills,mr_crews_house,658,374,1660,2,15,walk,
father_house,lady_wrights_house,174,305,1660,2,15,walk,
lady_wrights_house,mrs_jem_lodgings,305,412,1660,2,15,walk,
wills,sun_tavern,658,561,1660,2,16,walk,
home_axe_yard,exeter_house_chapel,264,69,1660,2,17,walk,
exeter_house_chapel,st_james_park,69,541,1660,2,17,walk,Mr. L'Impertinent
st_james_park,jacobs,541,541,1660,2,17,walk,Mr. L'Impertinent
westminster_hall,home_axe_yard,610,264,1660,2,18,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,2,18,walk,
my_lords_lodgings,half_moon,650,224,1660,2,18,walk,Captain Holland
half_moon,mitre_fleet_street,224,358,1660,2,18,walk,Captain Holland
mitre_fleet_street,mr_wottons_house,358,670,1660,2,18,walk,
harpers,exeter_house_chapel,231,69,1660,2,19,walk,Mr. L'Impertinent
exeter_house_chapel,mr_moores_house,69,204,1660,2,19,walk,Henry Moore
mr_moores_house,home_axe_yard,204,264,1660,2,19,walk,
home_axe_yard,mr_mossums_church,264,689,1660,2,19,walk,Elizabeth Pepys
mr_mossums_church,father_house,689,174,1660,2,19,walk,
father_house,mrs_turner_house,174,419,1660,2,19,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,2,20,walk,John Pepys Jr.
my_lords_lodgings,westminster_hall,650,610,1660,2,20,walk,
marshs,coffee_house,642,106,1660,2,20,walk,
coffee_house,wills,106,658,1660,2,20,walk,
wills,home_axe_yard,658,264,1660,2,20,walk,
westminster_hall,coffee_house,610,106,1660,2,21,walk,Mr. Lock; Mr. Purcell
coffee_house,home_axe_yard,106,264,1660,2,21,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,2,22,walk,
my_lords_lodgings,home_axe_yard,650,264,1660,2,22,walk,
wills,westminster_hall,658,610,1660,2,22,walk,
westminster_hall,father_house,610,174,1660,2,22,walk,
whitehall,marshs,642,642,1660,2,22,walk,
home_axe_yard,father_house,264,174,1660,2,22,walk,
father_house,home_axe_yard,174,264,1660,2,22,walk,Elizabeth Pepys
whitehall,home_axe_yard,642,264,1660,2,23,walk,
home_axe_yard,westminster_hall,264,610,1660,2,23,walk,
home_axe_yard,mrs_michells_shop,264,444,1660,2,23,walk,
mrs_michells_shop,home_axe_yard,444,264,1660,2,23,walk,
scotland_yard,mr_pierces_house,637,394,1660,2,24,horse,
mr_pierces_house,ware,394,606,1660,2,24,horse,Mr. Pierce
ware,puckeridge,606,466,1660,2,24,horse,Mr. Pierce; Mr. Blayton
falcon_inn,cousin_angier_house,68,67,1660,2,25,walk,John Pepys Sr.
magdalene_college,falcon_inn,70,68,1660,2,26,walk,
christs_college,falcon_inn,66,68,1660,2,26,walk,
magdalene_college,rose_tavern,70,483,1660,2,26,walk,Mr. Zanchy
epping,royal_exchange,163,789,1660,2,28,horse,Mr. Blayton
royal_exchange,st_pauls,789,545,1660,2,28,walk,
st_pauls,home_axe_yard,545,264,1660,2,28,walk,
home_axe_yard,mr_crews_house,264,374,1660,2,28,walk,
mr_crews_house,lady_wrights_house,374,305,1660,2,28,walk,
greyhound_tavern,mrs_jem_lodgings,220,412,1660,2,28,walk,
wills,home_axe_yard,658,264,1660,2,29,walk,
home_axe_yard,herrings_house,264,775,1660,2,29,boat,Elizabeth Pepys
herrings_house,father_house,775,174,1660,2,29,walk,Elizabeth Pepys
father_house,mrs_turner_house,174,419,1660,2,29,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,3,1,walk,
sun_tavern,home_axe_yard,561,264,1660,3,1,walk,
home_axe_yard,leg_tavern,264,314,1660,3,2,walk,Mr. Chetwind; Mr. Thomas
home_axe_yard,westminster_hall,264,610,1660,3,3,walk,Sir W. Batten
westminster_hall,swan_westminster,610,562,1660,3,3,walk,Mr. Pierce; John Creed; William Howe
home_axe_yard,warwick_house,264,607,1660,3,3,walk,
warwick_house,mr_crews_house,607,374,1660,3,3,coach,Edward Montagu
mr_crews_house,drury_lane,374,153,1660,3,3,walk,
drury_lane,home_axe_yard,153,264,1660,3,3,walk,
home_axe_yard,exeter_house_chapel,264,69,1660,3,4,walk,
exeter_house_chapel,father_house,69,174,1660,3,4,walk,
home_axe_yard,wills,264,658,1660,3,5,walk,
wills,billingsgate,658,42,1660,3,5,boat,Robert Shepley; Mr. Pinkney
billingsgate,salutation_tavern,42,489,1660,3,5,walk,
salutation_tavern,mr_pinkneys_house,489,742,1660,3,5,boat,
mr_pinkneys_house,home_axe_yard,742,264,1660,3,5,boat,
home_axe_yard,mr_crews_house,264,374,1660,3,6,walk,
mr_crews_house,whitehall,374,642,1660,3,6,walk,Robert Shepley
whitehall,westminster_hall,642,610,1660,3,6,walk,
wills,bell_tavern_westminster,658,34,1660,3,6,walk,
bell_tavern_westminster,home_axe_yard,34,264,1660,3,6,walk,
home_axe_yard,mrs_jem_lodgings,264,412,1660,3,6,walk,
mrs_jem_lodgings,lion_tavern,412,198,1660,3,6,walk,
lion_tavern,home_axe_yard,198,264,1660,3,6,walk,
mr_crews_house,st_james_park,374,541,1660,3,7,coach,Edward Montagu
st_james_park,whitehall,541,642,1660,3,7,walk,Edward Montagu
sun_behind_exchange,cock_tavern,561,102,1660,3,7,walk,
cock_tavern,father_house,102,174,1660,3,7,walk,
father_house,home_axe_yard,174,264,1660,3,7,walk,
whitehall,harpers,642,231,1660,3,8,walk,
harpers,dog_tavern,231,148,1660,3,8,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,3,9,walk,
my_lords_lodgings,painted_chamber,650,448,1660,3,9,coach,Edward Montagu
mr_crews_house,navy_office_tower_hill,374,422,1660,3,9,coach,Henry Moore
navy_office_tower_hill,whitehall,422,642,1660,3,9,coach,
whitehall,harpers,642,231,1660,3,9,walk,
harpers,home_axe_yard,231,264,1660,3,9,walk,
navy_treasurer,mr_rawlinsons_house,422,396,1660,3,10,walk,
mrs_jem_lodgings,mr_blackburnes_house,412,404,1660,3,10,walk,
mr_blackburnes_house,lady_wrights_house,404,305,1660,3,10,walk,
lady_wrights_house,whitehall,305,642,1660,3,10,walk,William Howe
royal_exchange,the_temple,789,102,1660,3,12,walk,
the_temple,wilkinsons,102,656,1660,3,12,walk,
wilkinsons,white_horse,656,613,1660,3,12,walk,
white_horse,huntsmore,613,273,1660,3,12,horse,
huntsmore,my_lords_lodgings,273,650,1660,3,13,horse,
my_lords_lodgings,father_house,650,174,1660,3,13,walk,
father_house,whitehall,174,642,1660,3,13,walk,
whitehall,home_axe_yard,642,264,1660,3,13,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,3,14,walk,Sir W. Batten
my_lords_lodgings,st_james_park,650,541,1660,3,14,walk,Mr. Pierce
st_james_park,whitehall,541,642,1660,3,14,walk,
whitehall,marshs,642,642,1660,3,14,walk,
marshs,home_axe_yard,642,264,1660,3,14,walk,
home_axe_yard,harpers,264,231,1660,3,14,walk,
harpers,mrs_jem_lodgings,231,412,1660,3,14,coach,
mrs_jem_lodgings,home_axe_yard,412,264,1660,3,14,coach,
home_axe_yard,wills,264,658,1660,3,15,walk,
wills,westminster_hall,658,610,1660,3,15,walk,
westminster_hall,harpers,610,231,1660,3,15,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,3,15,walk,
home_axe_yard,rhenish_wine_house,264,476,1660,3,16,walk,Robert Shepley
home_axe_yard,westminster_hall,264,610,1660,3,16,walk,
home_axe_yard,chequers_holborn,264,94,1660,3,17,coach,Elizabeth Pepys
chequers_holborn,mr_crews_house,94,374,1660,3,17,walk,
home_axe_yard,whitehall,264,642,1660,3,17,walk,
whitehall,mrs_crisps_house,642,406,1660,3,17,walk,
mrs_crisps_house,jervas_barber,406,286,1660,3,18,walk,
jervas_barber,my_lords_lodgings,286,650,1660,3,18,walk,
my_lords_lodgings,home_axe_yard,650,264,1660,3,18,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,3,18,walk,Robert Shepley
my_lords_lodgings,mr_mossums_church,650,689,1660,3,18,walk,
drury_lane,home_axe_yard,153,264,1660,3,18,walk,
home_axe_yard,mrs_crisps_house,264,406,1660,3,18,walk,
mrs_crisps_house,my_lords_lodgings,406,650,1660,3,19,walk,
my_lords_lodgings,wilkinsons,650,656,1660,3,19,walk,
swan_westminster,home_axe_yard,562,264,1660,3,19,walk,
home_axe_yard,whitehall,264,642,1660,3,19,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,3,20,walk,
my_lords_lodgings,whitehall,650,642,1660,3,20,walk,Captain Isham
whitehall,marshs,642,642,1660,3,20,walk,
bull_head,father_house,63,174,1660,3,20,walk,
father_house,my_lords_lodgings,174,650,1660,3,20,coach,
my_lords_lodgings,mrs_crisps_house,650,406,1660,3,20,walk,
mrs_crisps_house,my_lords_lodgings,406,650,1660,3,21,walk,
mr_crews_house,mrs_crisps_house,374,406,1660,3,21,walk,
home_axe_yard,mr_crews_house,264,374,1660,3,22,walk,Mr. Hawly
mr_crews_house,popes_head_tavern,374,459,1660,3,22,walk,
popes_head_tavern,whitehall,459,642,1660,3,22,walk,
whitehall,mr_mounts_chamber,642,204,1660,3,22,walk,
mr_mounts_chamber,mr_crews_house,204,374,1660,3,22,walk,
tower,long_reach,583,327,1660,3,23,boat,William Howe
long_reach,ship_swiftsure,327,261,1660,3,23,boat,
deal,fullers_deal,136,590,1660,4,30,walk,William Howe; Robert Shepley
ship_essex,ship_assistance,166,239,1660,5,3,boat,
the_downs,dover,569,150,1660,5,11,ship,
grande_salle,scheveningen,572,495,1660,5,15,coach,
the_hague,kings_court_hague,570,69,1660,5,17,walk,
kings_court_hague,lord_chancellors_lodging,69,336,1660,5,17,walk,
princess_dowager_house,voorhout,717,598,1660,5,17,walk,
delft,the_hague,137,570,1660,5,18,boat,
the_hague,princess_dowager_house,570,717,1660,5,18,coach,
scheveningen,ship_charles,495,242,1660,5,23,boat,
ship_charles,dover,242,150,1660,5,25,boat,
dover,ship_charles,150,242,1660,5,25,boat,
ship_charles,deal,242,136,1660,5,29,boat,Edward Montagu; Mr. Hetley
deal,ship_charles,136,242,1660,5,29,boat,
ship_charles,deal,242,136,1660,6,8,horse,
rochester,chatham,478,90,1660,6,8,horse,
chatham,gravesend,90,203,1660,6,8,horse,
gravesend,the_temple,203,102,1660,6,9,boat,Henry Moore; William Howe
the_temple,mr_crews_house,102,374,1660,6,9,walk,
whitehall,st_james_park,642,541,1660,6,9,walk,
st_james_park,father_house,541,174,1660,6,9,walk,
whitehall,covent_garden,642,123,1660,6,11,coach,Edward Montagu
covent_garden,wills,123,658,1660,6,11,walk,
wills,westminster_hall,658,610,1660,6,11,walk,
mr_crews_house,mrs_turner_house,374,419,1660,6,11,walk,
mrs_turner_house,home_axe_yard,419,264,1660,6,11,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,6,12,walk,
my_lords_lodgings,mr_crews_house,650,374,1660,6,12,walk,
mr_crews_house,devils_tavern,374,146,1660,6,12,walk,
devils_tavern,my_lords_lodgings,146,650,1660,6,12,walk,
my_lords_lodgings,father_house,650,174,1660,6,12,walk,
my_lords_lodgings,navy_treasurer,650,422,1660,6,13,walk,John Creed
navy_treasurer,mr_rawlinsons_house,422,396,1660,6,13,walk,
mr_crews_house,rhenish_wine_house,374,476,1660,6,13,boat,Edward Montagu
my_lords_lodgings,navy_treasurer,650,422,1660,6,14,walk,
navy_treasurer,wills,422,658,1660,6,14,walk,
wills,bull_head,658,63,1660,6,14,walk,
father_house,navy_commissioners,174,113,1660,6,15,walk,
navy_commissioners,dolphin_tavern,113,149,1660,6,15,boat,Mr. Turner
whitehall,lady_wrights_house,642,305,1660,6,16,walk,Edward Montagu
lady_wrights_house,father_house,305,174,1660,6,16,walk,
my_lords_lodgings,grays_inn,650,204,1660,6,17,walk,Edward Montagu
grays_inn,father_house,204,174,1660,6,17,walk,
my_lords_lodgings,whitehall,650,642,1660,6,18,walk,Edward Montagu
whitehall,trinity_house,642,588,1660,6,18,boat,Edward Montagu
father_house,whitehall,174,642,1660,6,19,walk,
whitehall,lady_pickerings_house,642,305,1660,6,19,walk,
lady_pickerings_house,my_lords_lodgings,305,650,1660,6,19,walk,
my_lords_lodgings,whitehall,650,642,1660,6,20,walk,Edward Montagu
whitehall,cock_pit,642,104,1660,6,20,walk,Edward Montagu
home_axe_yard,lady_pickerings_house,264,305,1660,6,20,walk,
lady_pickerings_house,cock_pit,305,104,1660,6,20,walk,
cock_pit,charing_cross,104,85,1660,6,20,walk,
my_lords_lodgings,dog_tavern,650,148,1660,6,21,walk,
sun_tavern,half_moon,561,224,1660,6,22,walk,
mr_crews_house,lady_wrights_house,374,305,1660,6,22,walk,
lady_wrights_house,home_axe_yard,305,264,1660,6,22,walk,
cardinals_cap,home_axe_yard,81,264,1660,6,23,walk,
home_axe_yard,mr_crews_house,264,374,1660,6,24,walk,
mr_crews_house,father_house,374,174,1660,6,24,walk,
father_house,home_axe_yard,174,264,1660,6,24,walk,
home_axe_yard,whitehall,264,642,1660,6,25,walk,
whitehall,leg_tavern,642,314,1660,6,25,walk,
leg_tavern,mr_crews_house,314,374,1660,6,25,walk,Edward Montagu
dorset_house,my_lords_lodgings,704,650,1660,6,25,walk,
my_lords_lodgings,home_axe_yard,650,264,1660,6,25,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,6,26,walk,
secretary_nicholas,three_tuns_charing_cross,642,71,1660,6,26,walk,
three_tuns_charing_cross,home_axe_yard,71,264,1660,6,26,walk,
home_axe_yard,whitehall,264,642,1660,6,26,walk,
whitehall,great_wardrobe,642,576,1660,6,26,walk,
great_wardrobe,backwells,576,3,1660,6,26,walk,
backwells,father_house,3,174,1660,6,26,walk,
my_lords_lodgings,whitehall,650,642,1660,6,28,walk,
whitehall,clothworkers_hall,642,100,1660,6,28,coach,Elizabeth Pepys; Mr. Pierce
mr_rawlinsons_house,father_house,396,174,1660,6,28,walk,
father_house,home_axe_yard,174,264,1660,6,28,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,6,29,walk,
sir_geffery_palmers,westminster_hall,753,610,1660,6,29,walk,
westminster_hall,leg_tavern,610,314,1660,6,29,walk,
home_axe_yard,my_lords_lodgings,264,650,1660,6,30,walk,
my_lords_lodgings,whitehall,650,642,1660,6,30,walk,Edward Montagu
whitehall,home_axe_yard,642,264,1660,7,1,walk,
home_axe_yard,bell_tavern_westminster,264,34,1660,7,2,walk,
bell_tavern_westminster,my_lords_lodgings,34,650,1660,7,2,walk,
