id,name,location
322,Lisson Green,"Marylebone area, Middlesex"
323,Lisson Green / Marylebone,"Marylebone, Middlesex"
324,London Bridge,London Bridge
325,Long Lane (upholsterers),"Smithfield area, City of London"
326,Long Reach (ships),"Thames at Long Reach, Kent/Essex"
327,Long Reach / The Hope,"Thames Estuary, Kent"
328,Lord Arlington's House,"Whitehall area, Westminster"
329,Lord Ashley's House,London
330,Lord Bellasis's House,London
331,Lord Bellasses's Lodgings,"Lincoln's Inn Fields, London"
332,Lord Berkeley's Lodgings (St. James's),"St. James's, Westminster"
333,Lord Berkeley's New House,"St. James's, Westminster"
334,"Lord Brouncker's House (Piazza, Covent Garden)","Piazza, Covent Garden, Westminster"
335,Lord Burlington's House,"Piccadilly, Westminster"
336,Lord Chancellor's House,"near St. James's, Westminster"
337,Lord Crew's House,"Lincoln's Inn Fields, Westminster/Holborn"
338,Lord Lauderdale's House (Highgate),"Highgate, Middlesex"
339,Lord Peterborough's House,London
340,Lord Privy Seal's Chamber,"Whitehall, Westminster"
341,Lord Sandwich's House,"Lincoln's Inn Fields / Chelsea, London"
342,Lord St. Albans's Lodging,"Whitehall, Westminster"
343,Lord Treasurer's House (Southampton House),Westminster / Bloomsbury
344,Lords of the Treasury,"Whitehall, Westminster"
345,Loton's Studio (painter),"St. James's Market, London"
346,Lovett's (varnisher),London
347,Ludgate Church,"Ludgate Hill, City of London"
348,Madam Williams's (Erith),"Erith, Kent"
349,Magdalene College (Cambridge),"Cambridge, Cambridgeshire"
350,Maidenhead,"Maidenhead, Berkshire"
351,Maidstone,"Maidstone, Kent"
352,Marlborough,"Marlborough, Wiltshire"
353,Marrowbone (Marylebone),"Marylebone, Middlesex"
354,Martin's Bookseller's,near St. Paul's / Strand
355,Mercer's Chapel,"Cheapside, City of London"
356,Mercer's Mother's House,"Crutched Friars, City of London"
357,Michell's House,near Westminster
358,Mitre Tavern,"Fenchurch Street, City of London"
359,Moorfields,"Moorfields, near City of London"
360,Mother Bowyer's House,Westminster
361,Moxon's (instrument maker),"Cornhill, City of London"
362,Mr. Ackworth's House (Woolwich),"Woolwich, Kent"
363,Mr. Batelier's House,London
364,Mr. Blagrave's House,Westminster
365,Mr. Bland's House,City of London
366,Mr. Boreman's House (Greenwich),"Greenwich, Kent"
367,Mr. Bowyer's House,Westminster
368,Mr. Cade's Warehouse,"Cornhill, City of London"
369,Mr. Cole's House,London
370,Mr. Colvill's (goldsmith),City of London
371,Mr. Coventry's Chamber,St. James's Palace / Whitehall
372,Mr. Coventry's Lodgings (Old Palace Yard),"Old Palace Yard, Westminster"
373,Mr. Creed's Lodgings,Westminster
374,Mr. Crew's House,"Lincoln's Inn Fields, London"
375,Mr. Cutler's House,"Austin Friars, City of London"
376,Mr. Davis's House (Deptford),"Deptford, Kent"
377,Mr. de Cretz's Studio,London
378,Mr. Denham's (Surveyor's),"Whitehall area, Westminster"
379,Mr. Evelyn's House (Sayes Court),"Deptford, Kent"
380,Mr. Falconer's House (Woolwich),"Woolwich, Kent"
381,Mr. Fox's House,"Whitehall area, Westminster"
382,Mr. Gawden's House (Clapham),"Clapham, Surrey"
383,Mr. Greatorex's,London
384,Mr. Hales's Studio (painter),London
385,Mr. Hempson's House (Chatham),"near Chatham, Kent"
386,Mr. Holliard's,City of London
387,Mr. Hubland's House,London
388,Mr. Hunt's House,Westminster
389,Mr. Jaggard's House,"Thames Street, City of London"
390,Mr. Lely's Studio,"Piazza, Covent Garden, Westminster"
391,Mr. Moore's Lodgings,Westminster
392,Mr. Oldenburg's House,London
393,Mr. Pett's House (Woolwich),"Woolwich, Kent"
394,Mr. Pierce's House (surgeon),London
395,Mr. Povy's House,"Lincoln's Inn Fields, London"
396,Mr. Rawlinson's,"Fenchurch Street area, City of London"
397,Mr. Reeve's (instruments),London
398,Mr. Spong's Chamber,"near Southampton Market, London"
399,Mr. Spong's House,London
400,Mr. Standing's,"near Salisbury Court, City of London"
401,Mr. Streeter's Studio (painter),"Covent Garden area, London"
402,Mr. Ware's Lodgings,Westminster
403,Mr. Williamson's Office,"Whitehall, Westminster"
404,Mrs. Blackburne's House,London
405,Mrs. Clerke's Lodgings (Greenwich),"Greenwich, Kent"
406,Mrs. Crisp's House (Axe Yard),"Axe Yard, Westminster"
407,Mrs. Daniel's House (Greenwich),"Greenwich, Kent"
408,Mrs. Ferrer's Lodgings,Westminster
409,Mrs. Harper's (Westminster),Westminster
410,Mrs. Harper's Alehouse,"King Street, Westminster"
411,Mrs. Hunt's Lodgings,Westminster
412,Mrs. Jem's (Jemima Montagu),London
413,Mrs. Knipp's Lodgings,London
414,Mrs. Lane's,Westminster Hall area
415,Mrs. Martin's Lodgings (Bow Street),"Bow Street, Westminster"
416,Mrs. Mitchell's Shop,"Westminster Hall, Westminster"
417,Mrs. Penington's Lodgings (Greenwich),"Greenwich, Kent"
418,Mrs. Pierce's House,Covent Garden / Westminster
419,Mrs. Turner's House,"Salisbury Court / near Navy Office, City of London"
420,Mrs. Williams's House,"Covent Garden, London"
421,Mulberry Garden,"St. James's area, Westminster"
422,Navy Office,"Seething Lane, City of London"
423,Neat Houses (Vauxhall),"Vauxhall, Surrey"
424,Ned Pickering's House,"Lincoln's Inn Fields, London"
425,New Bridewell,"Bridewell, City of London"
426,New Exchange Tavern,"Threadneedle Street, City of London"
427,New Nursery Playhouse,"Lincoln's Inn Fields, London"
428,New Playhouse (Lincoln's Inn Fields),"Lincoln's Inn Fields, London"
429,New Tennis Court (Whitehall),"Whitehall, Westminster"
430,Newbury,"Newbury, Berkshire"
431,Newgate Market,"Newgate Street, City of London"
432,Newington Green,"Newington Green, Middlesex"
433,Newport Pagnell,"Newport Pagnell, Buckinghamshire"
434,Nick Osborne's (Victualling Office),"near Victualling Office, London"
435,Nonsuch (Exchequer office),"Nonsuch, Surrey"
436,Nott's (bookbinder),"Westminster / Chancery Lane, London"
437,Office of the Ordnance,Tower of London
438,Offord,"Offord, Huntingdonshire"
439,Old Artillery Ground,"Spitalfields, London"
440,Old Bailey,"Old Bailey, City of London"
441,Old Ford,"Old Ford, Middlesex"
442,Old James Tavern,"Bishopsgate Street, City of London"
443,Old Sarum,"Old Sarum, Wiltshire"
444,"Old Swan (Michell's new shop, post-fire)","Old Swan, Thames Street, City of London"
445,Ordnance Office,"Tower area, City of London"
446,Oxford,"Oxford, Oxfordshire"
447,Paddington / Tyburn,"Paddington, Middlesex"
448,Painted Chamber,"Westminster Palace, Westminster"
449,Pall Mall,"St. James's, Westminster"
450,Pannier Alley,"Paternoster Row area, City of London"
451,Parliament House,Westminster
452,Parson's Drove,Cambridgeshire fens
453,Patent Office (Chancery Lane),"Chancery Lane, London"
454,Penell's Tavern,"Fleet Street, City of London"
455,Petersfield,"Petersfield, Hampshire"
456,Philpot Lane,"Philpot Lane, City of London"
457,Plasterer's (Charing Cross),"Charing Cross, London"
458,Playford's Music Shop,"Temple area, London"
459,Pope's Head Alley Tavern,"Cornhill, City of London"
460,"Pope's Head Tavern (St. Helen's, post-fire)","St. Helen's, Bishopsgate, City of London"
461,Portsmouth,"Portsmouth, Hampshire"
462,Portsmouth Dockyard,"Portsmouth, Hampshire"
463,Post Office Music Meeting,"Cloak Lane, City of London"
464,Prerogative Office,"Paternoster Row, City of London"
465,Privy Seal Office,"Whitehall, Westminster"
466,Puckeridge,"Puckeridge, Hertfordshire"
467,Putney,"Putney, Surrey"
468,Queen's Chapel (St. James's),"St. James's Palace, Westminster"
469,Queenborough,"Queenborough, Kent"
470,Queenhithe,"Thames waterfront, City of London"
471,Ratcliffe (plate-maker),"Ratcliffe, Stepney"
472,Reading,"Reading, Berkshire"
473,Red Bull Playhouse,"St. John Street, Clerkenwell, Middlesex"
474,"Red Lion (King Street, Westminster)","King Street, Westminster"
475,Redriffe (Rotherhithe),"Rotherhithe, Surrey"
476,Rhenish Wine House,"Cannon Row, Westminster"
477,Richmond / Mortlake,"Richmond / Mortlake, Surrey"
478,Rochester,"Rochester, Kent"
479,Rochester - Crown Inn,"Rochester, Kent"
480,Rochester Castle,"Rochester, Kent"
481,Rochester Cathedral,"Rochester, Kent"
482,Roger Pepys's Lodgings,"Strand, near Arundel House"
483,Rose Tavern (Cambridge),"Cambridge, Cambridgeshire"
484,Royal Exchange (temporary),"Gresham College area, Bishopsgate, City of London"
485,Royal Oak Tavern (Lombard Street),"Lombard Street, City of London"
486,Saffron Walden,"Saffron Walden, Essex"
487,Salisbury,"Salisbury, Wiltshire"
488,Salisbury Court Playhouse,"Salisbury Court, Fleet Street"
489,Salutation Tavern (Rochester),"Rochester, Kent"
490,Sampson Tavern,"St. Paul's Churchyard, City of London"
491,Savill the Painter's,"Cheapside, City of London"
492,Savoy,"Strand, Westminster"
493,Savoy Chapel,"Strand, Westminster"
494,Saxham,"Saxham, Suffolk"
495,Scheveningen,"Scheveningen, Netherlands"
496,Secretary Bennet's Chamber,"Whitehall Palace, Westminster"
497,Sessions House (Old Bailey),"Old Bailey, City of London"
498,Sheerness,"Sheerness, Kent"
499,Ship Tavern (Morrice's),"near Navy Office, London"
500,Shoe Lane Alehouse (Gridiron),"Shoe Lane, City of London"
501,Shoe Lane Cock-fighting Pit,"Shoe Lane, City of London"
502,Sir Allen Broderick's (Wandsworth),"Wandsworth, Surrey"
503,Sir G. Carteret's Lodgings (Whitehall),"Whitehall Palace, Westminster"
504,Sir G. Smith's House,City of London / Greenwich
505,Sir J. Minnes's House,"Seething Lane, City of London"
506,Sir J. Winter's House,London
507,Sir P. Neale's Chamber (Whitehall),"Whitehall Palace, Westminster"
508,Sir Philip Howard's Lodgings,"Charing Cross, Westminster"
509,Sir Philip Warwick's Office,"Whitehall area, Westminster"
510,Sir R. Ford's House,"Seething Lane area, City of London"
511,Sir R. Viner's,"Lombard Street, City of London"
512,Sir Richard Ford's Yard,"near Seething Lane, City of London"
513,Sir Stephen Fox's House,Whitehall area
514,Sir W. Batten's House,"Seething Lane, City of London"
515,Sir W. Coventry's Lodgings,"St. James's area, Westminster"
516,Sir W. Penn's House,"Seething Lane, City of London"
517,Sir W. Petty's Experiment (double-bottom boat),Limehouse / Thames
518,Sir W. Rider's House (Bethnal Green),"Bethnal Green, Middlesex"
519,Sir William Batten's House,"Seething Lane, City of London"
520,Sir William Penn's House,"Seething Lane, City of London"
521,Six Clerks' Office,"Chancery Lane, City of London"
522,Smithfield,"Smithfield, City of London"
523,Somerset House,"Strand, Westminster"
524,Somerset House Chapel,"Strand, Westminster"
525,Southwark / Bear (Bridge Foot),"Southwark, near London Bridge"
526,Southwark / Stangate,"Southwark / Stangate, Surrey"
527,Southwark Posthouse,"Southwark, Surrey"
528,Spanish Ambassador's House,London
529,Speaker's Chamber (Parliament),Westminster
530,Spittle (Easter sermons),"Spitalfields, London"
531,St. Andrew's Church (Holborn),"Holborn, London"
532,St. Catherine's,St. Katherine's by the Tower
533,St. Clement Danes Church,"Strand, Westminster"
534,St. Dunstan's Church (Stepney),"Stepney, Middlesex"
535,St. Dunstan-in-the-West,"Fleet Street, City of London"
536,St. Gregory's Church,"St. Paul's Churchyard, City of London"
537,St. Ives,"St. Ives, Huntingdonshire"
538,St. James's - Duke of York's Chamber,"St. James's Palace, Westminster"
539,St. James's Church,"St. James's, Westminster"
540,St. James's Palace,"St. James's, Westminster"
541,St. James's Park,Westminster
542,St. Lawrence Church,City of London
543,St. Margaret's Church (Westminster),Westminster
544,St. Olave's Church,"Hart Street, City of London"
545,St. Paul's Cathedral,"St. Paul's Churchyard, City of London"
546,St. Paul's Churchyard (booksellers),"St. Paul's Churchyard, City of London"
